"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  En tant que client API authentifie, je veux mettre a jour entierement une reservation
  afin de modifier toutes ses informations en une seule requete.","779","TC-033 -- Persistence apres PUT (GET /booking/{id})","","2026-09-17","passed","2026-09-17","","US-005 -- Mise a jour complete (PUT /booking/{id})","TC-033 -- Persistence apres PUT (GET /booking/{id})",""
"  En tant que client API authentifie, je veux mettre a jour entierement une reservation
  afin de modifier toutes ses informations en une seule requete.","761","TC-034 -- PUT sans authentification (PUT /booking/{id})","","2026-09-17","passed","2026-09-17","","US-005 -- Mise a jour complete (PUT /booking/{id})","TC-034 -- PUT sans authentification (PUT /booking/{id})",""
"  En tant que client API authentifie, je veux supprimer une reservation
  afin de l'effacer definitivement du systeme.","790","TC-048 -- DELETE avec token invalide (DELETE /booking/{id})","","2026-09-17","passed","2026-09-17","","US-007 -- Supprimer une reservation (DELETE /booking/{id})","TC-048 -- DELETE avec token invalide (DELETE /booking/{id})",""
"  En tant que client API, je veux generer un token d'authentification
  afin d'effectuer des operations securisees sur les reservations.","275","TC-002 -- Credentials incorrects (POST /auth)","","2026-09-17","passed","2026-09-17","","US-001 -- Authentification (POST /auth)","TC-002 -- Credentials incorrects (POST /auth)",""
"  En tant que client API authentifie, je veux supprimer une reservation
  afin de l'effacer definitivement du systeme.","528","TC-049 -- DELETE sur ID inexistant (DELETE /booking/9999999)","","2026-09-17","passed","2026-09-17","","US-007 -- Supprimer une reservation (DELETE /booking/{id})","TC-049 -- DELETE sur ID inexistant (DELETE /booking/9999999)",""
"  En tant que client API, je veux recuperer la liste de toutes les reservations
  afin de consulter les IDs disponibles et filtrer par criteres.","247","TC-007 -- Filtre par firstname (GET /booking?firstname=Jim)","","2026-09-17","passed","2026-09-17","","US-002 -- Lister les reservations (GET /booking)","TC-007 -- Filtre par firstname (GET /booking?firstname=Jim)",""
"  En tant que client API authentifie, je veux supprimer une reservation
  afin de l'effacer definitivement du systeme.","792","TC-045 -- DELETE avec token valide (DELETE /booking/{id})","","2026-09-17","passed","2026-09-17","","US-007 -- Supprimer une reservation (DELETE /booking/{id})","TC-045 -- DELETE avec token valide (DELETE /booking/{id})",""
"  En tant que client API, je veux verifier la disponibilite de l'API
  afin de m'assurer qu'elle est operationnelle avant de lancer les tests.","237","TC-051 -- Health check standard (GET /ping)","","2026-09-17","passed","2026-09-17","","US-008 -- Health Check (GET /ping)","TC-051 -- Health check standard (GET /ping)",""
"  En tant que client API, je veux recuperer la liste de toutes les reservations
  afin de consulter les IDs disponibles et filtrer par criteres.","262","TC-011 -- Filtre firstname inexistant (GET /booking?firstname=XYZ)","","2026-09-17","passed","2026-09-17","","US-002 -- Lister les reservations (GET /booking)","TC-011 -- Filtre firstname inexistant (GET /booking?firstname=XYZ)",""
"  En tant que client API, je veux recuperer le detail d'une reservation par son ID
  afin de consulter ses informations completes.","535","TC-015 -- Dates au format ISO 8601 (GET /booking/{id})","","2026-09-17","passed","2026-09-17","","US-003 -- Recuperer une reservation (GET /booking/{id})","TC-015 -- Dates au format ISO 8601 (GET /booking/{id})",""
"  En tant que client API, je veux recuperer le detail d'une reservation par son ID
  afin de consulter ses informations completes.","506","TC-016 -- ID inexistant (GET /booking/9999999)","","2026-09-17","passed","2026-09-17","","US-003 -- Recuperer une reservation (GET /booking/{id})","TC-016 -- ID inexistant (GET /booking/9999999)",""
"  En tant que client API, je veux recuperer le detail d'une reservation par son ID
  afin de consulter ses informations completes.","524","TC-019 -- ID zero (GET /booking/0)","","2026-09-17","passed","2026-09-17","","US-003 -- Recuperer une reservation (GET /booking/{id})","TC-019 -- ID zero (GET /booking/0)",""
"  En tant que client API, je veux creer une nouvelle reservation
  afin d'enregistrer un sejour hotelier dans le systeme.","276","TC-021 -- Creation sans champ optionnel additionalneeds (POST /booking)","","2026-09-17","passed","2026-09-17","","US-004 -- Creer une reservation (POST /booking)","TC-021 -- Creation sans champ optionnel additionalneeds (POST /booking)",""
"  En tant que client API authentifie, je veux supprimer une reservation
  afin de l'effacer definitivement du systeme.","778","TC-047 -- DELETE sans token (DELETE /booking/{id})","","2026-09-17","passed","2026-09-17","","US-007 -- Supprimer une reservation (DELETE /booking/{id})","TC-047 -- DELETE sans token (DELETE /booking/{id})",""
"  En tant que client API, je veux generer un token d'authentification
  afin d'effectuer des operations securisees sur les reservations.","267","TC-005 -- XSS payload dans password (POST /auth)","","2026-09-17","passed","2026-09-17","","US-001 -- Authentification (POST /auth)","TC-005 -- XSS payload dans password (POST /auth)",""
"  En tant que client API, je veux creer une nouvelle reservation
  afin d'enregistrer un sejour hotelier dans le systeme.","243","TC-026 -- Champ depositpaid manquant (POST /booking)","","2026-09-17","passed","2026-09-17","","US-004 -- Creer une reservation (POST /booking)","TC-026 -- Champ depositpaid manquant (POST /booking)",""
"  En tant que client API authentifie, je veux mettre a jour partiellement une reservation
  afin de modifier uniquement les champs necessaires.","775","TC-043 -- PATCH sur ID inexistant (PATCH /booking/9999999)","","2026-09-17","passed","2026-09-17","","US-006 -- Mise a jour partielle (PATCH /booking/{id})","TC-043 -- PATCH sur ID inexistant (PATCH /booking/9999999)",""
"  En tant que client API, je veux creer une nouvelle reservation
  afin d'enregistrer un sejour hotelier dans le systeme.","243","TC-030 -- Body vide (POST /booking)","","2026-09-17","passed","2026-09-17","","US-004 -- Creer une reservation (POST /booking)","TC-030 -- Body vide (POST /booking)",""
"  En tant que client API, je veux creer une nouvelle reservation
  afin d'enregistrer un sejour hotelier dans le systeme.","264","TC-025 -- Champ totalprice manquant (POST /booking)","","2026-09-17","passed","2026-09-17","","US-004 -- Creer une reservation (POST /booking)","TC-025 -- Champ totalprice manquant (POST /booking)",""
"  En tant que client API, je veux generer un token d'authentification
  afin d'effectuer des operations securisees sur les reservations.","277","TC-003 -- Champs username et password manquants (POST /auth)","","2026-09-17","passed","2026-09-17","","US-001 -- Authentification (POST /auth)","TC-003 -- Champs username et password manquants (POST /auth)",""
"  En tant que client API, je veux recuperer la liste de toutes les reservations
  afin de consulter les IDs disponibles et filtrer par criteres.","380","TC-010 -- Filtre par checkout (GET /booking?checkout=2019-01-01)","","2026-09-17","passed","2026-09-17","","US-002 -- Lister les reservations (GET /booking)","TC-010 -- Filtre par checkout (GET /booking?checkout=2019-01-01)",""
"  En tant que client API authentifie, je veux mettre a jour entierement une reservation
  afin de modifier toutes ses informations en une seule requete.","823","TC-032 -- Mise a jour complete avec token valide (PUT /booking/{id})","","2026-09-17","passed","2026-09-17","","US-005 -- Mise a jour complete (PUT /booking/{id})","TC-032 -- Mise a jour complete avec token valide (PUT /booking/{id})",""
"  En tant que client API, je veux recuperer la liste de toutes les reservations
  afin de consulter les IDs disponibles et filtrer par criteres.","314","TC-009 -- Filtre par checkin (GET /booking?checkin=2018-01-01)","","2026-09-17","passed","2026-09-17","","US-002 -- Lister les reservations (GET /booking)","TC-009 -- Filtre par checkin (GET /booking?checkin=2018-01-01)",""
"  En tant que client API, je veux recuperer le detail d'une reservation par son ID
  afin de consulter ses informations completes.","500","TC-018 -- ID negatif (GET /booking/-1)","","2026-09-17","passed","2026-09-17","","US-003 -- Recuperer une reservation (GET /booking/{id})","TC-018 -- ID negatif (GET /booking/-1)",""
"  En tant que client API, je veux creer une nouvelle reservation
  afin d'enregistrer un sejour hotelier dans le systeme.","240","TC-027 -- Champ bookingdates manquant (POST /booking)","","2026-09-17","passed","2026-09-17","","US-004 -- Creer une reservation (POST /booking)","TC-027 -- Champ bookingdates manquant (POST /booking)",""
"  En tant que client API authentifie, je veux mettre a jour partiellement une reservation
  afin de modifier uniquement les champs necessaires.","781","TC-041 -- PATCH sans token (PATCH /booking/{id})","","2026-09-17","passed","2026-09-17","","US-006 -- Mise a jour partielle (PATCH /booking/{id})","TC-041 -- PATCH sans token (PATCH /booking/{id})",""
"  En tant que client API, je veux recuperer le detail d'une reservation par son ID
  afin de consulter ses informations completes.","828","TC-013 -- Reservation existante valide (GET /booking/{id})","","2026-09-17","passed","2026-09-17","","US-003 -- Recuperer une reservation (GET /booking/{id})","TC-013 -- Reservation existante valide (GET /booking/{id})",""
"  En tant que client API authentifie, je veux supprimer une reservation
  afin de l'effacer definitivement du systeme.","1047","TC-046 -- Verification suppression par GET apres DELETE","","2026-09-17","passed","2026-09-17","","US-007 -- Supprimer une reservation (DELETE /booking/{id})","TC-046 -- Verification suppression par GET apres DELETE",""
"  En tant que client API authentifie, je veux mettre a jour entierement une reservation
  afin de modifier toutes ses informations en une seule requete.","738","TC-036 -- PUT sur ID inexistant (PUT /booking/9999999)","","2026-09-17","passed","2026-09-17","","US-005 -- Mise a jour complete (PUT /booking/{id})","TC-036 -- PUT sur ID inexistant (PUT /booking/9999999)",""
"  En tant que client API, je veux creer une nouvelle reservation
  afin d'enregistrer un sejour hotelier dans le systeme.","264","TC-031 -- XSS payload dans firstname (POST /booking)","","2026-09-17","failed","2026-09-17","","US-004 -- Creer une reservation (POST /booking)","TC-031 -- XSS payload dans firstname (POST /booking)",""
"  En tant que client API authentifie, je veux mettre a jour partiellement une reservation
  afin de modifier uniquement les champs necessaires.","779","TC-038 -- PATCH firstname uniquement (PATCH /booking/{id})","","2026-09-17","passed","2026-09-17","","US-006 -- Mise a jour partielle (PATCH /booking/{id})","TC-038 -- PATCH firstname uniquement (PATCH /booking/{id})",""
"  En tant que client API, je veux creer une nouvelle reservation
  afin d'enregistrer un sejour hotelier dans le systeme.","265","TC-024 -- Champ lastname manquant (POST /booking)","","2026-09-17","passed","2026-09-17","","US-004 -- Creer une reservation (POST /booking)","TC-024 -- Champ lastname manquant (POST /booking)",""
"  En tant que client API authentifie, je veux mettre a jour partiellement une reservation
  afin de modifier uniquement les champs necessaires.","779","TC-044 -- PATCH avec body vide (PATCH /booking/{id})","","2026-09-17","passed","2026-09-17","","US-006 -- Mise a jour partielle (PATCH /booking/{id})","TC-044 -- PATCH avec body vide (PATCH /booking/{id})",""
"  En tant que client API authentifie, je veux mettre a jour partiellement une reservation
  afin de modifier uniquement les champs necessaires.","778","TC-040 -- PATCH lastname et totalprice (PATCH /booking/{id})","","2026-09-17","passed","2026-09-17","","US-006 -- Mise a jour partielle (PATCH /booking/{id})","TC-040 -- PATCH lastname et totalprice (PATCH /booking/{id})",""
"  En tant que client API authentifie, je veux mettre a jour entierement une reservation
  afin de modifier toutes ses informations en une seule requete.","787","TC-037 -- PUT sans champ requis firstname (PUT /booking/{id})","","2026-09-17","passed","2026-09-17","","US-005 -- Mise a jour complete (PUT /booking/{id})","TC-037 -- PUT sans champ requis firstname (PUT /booking/{id})",""
"  En tant que client API, je veux recuperer la liste de toutes les reservations
  afin de consulter les IDs disponibles et filtrer par criteres.","242","TC-008 -- Filtre par lastname (GET /booking?lastname=Brown)","","2026-09-17","passed","2026-09-17","","US-002 -- Lister les reservations (GET /booking)","TC-008 -- Filtre par lastname (GET /booking?lastname=Brown)",""
"  En tant que client API authentifie, je veux supprimer une reservation
  afin de l'effacer definitivement du systeme.","1050","TC-050 -- Double DELETE sur le meme ID","","2026-09-17","passed","2026-09-17","","US-007 -- Supprimer une reservation (DELETE /booking/{id})","TC-050 -- Double DELETE sur le meme ID",""
"  En tant que client API, je veux creer une nouvelle reservation
  afin d'enregistrer un sejour hotelier dans le systeme.","277","TC-028 -- totalprice negatif (POST /booking)","","2026-09-17","failed","2026-09-17","","US-004 -- Creer une reservation (POST /booking)","TC-028 -- totalprice negatif (POST /booking)",""
"  En tant que client API authentifie, je veux mettre a jour partiellement une reservation
  afin de modifier uniquement les champs necessaires.","788","TC-042 -- PATCH avec token invalide (PATCH /booking/{id})","","2026-09-17","passed","2026-09-17","","US-006 -- Mise a jour partielle (PATCH /booking/{id})","TC-042 -- PATCH avec token invalide (PATCH /booking/{id})",""
"  En tant que client API, je veux creer une nouvelle reservation
  afin d'enregistrer un sejour hotelier dans le systeme.","336","TC-020 -- Creation avec tous les champs valides (POST /booking)","","2026-09-17","passed","2026-09-17","","US-004 -- Creer une reservation (POST /booking)","TC-020 -- Creation avec tous les champs valides (POST /booking)",""
"  En tant que client API, je veux creer une nouvelle reservation
  afin d'enregistrer un sejour hotelier dans le systeme.","246","TC-022 -- Dates checkin egale checkout (POST /booking)","","2026-09-17","passed","2026-09-17","","US-004 -- Creer une reservation (POST /booking)","TC-022 -- Dates checkin egale checkout (POST /booking)",""
